feature_value,reason
battery size_4000_4700_mAh,teniendo una capacidad de batería entre 4000 y 4700 mAh
battery size_<4000_mAh,teniendo una capacidad de batería menor a 4000 mAh
battery size_>4700_mAh,teniendo una capacidad de batería mayor a 4700 mAh
internal memory_128_GB,teniendo 128 GB de memoria interna
internal memory_<=64_GB,teniendo 64 GB o menos de memoria interna
internal memory_>=256_GB,teniendo 256 GB o más de memoria interna
main camera_15_50_MP,teniendo una cámara principal entre 15 y 50 MP
main camera_<15_MP,teniendo una cámara principal con menos de 15 MP
main camera_>50_MP,teniendo una cámara principal con más de 50 MP
performance_Low,teniendo un rendimiento bajo
performance_Mid,teniendo un rendimiento de gama media
performance_Top,teniendo un rendimiento superior
performance_Ultra top,teniendo un rendimiento ultra superior
price_200_450_dollars,teniendo un precio entre 200 y 450 dólares
price_450_700_dollars,teniendo un precio entre 450 y 700 dólares
price_<200_dollars,teniendo un precio menor a 200 dólares
price_>700_dollars,teniendo un precio mayor a 700 dólares
screen size_6.4_6.6_inches,teniendo un tamaño de pantalla entre 6.4 y 6.6 pulgadas
screen size_<6.4_inches,teniendo un tamaño de pantalla menor a 6.4 pulgadas
screen size_>6.6_inches,teniendo un tamaño de pantalla mayor a 6.6 pulgadas
selfie camera_10_30_MP,teniendo una cámara selfie entre 10 y 30 MP
selfie camera_<10_MP,teniendo una cámara selfie con menos de 10 MP
selfie camera_>30_MP,teniendo una cámara selfie con más de 30 MP
weight_190_205_g,teniendo un peso entre 190 y 205 gramos
weight_<190_g,teniendo un peso menor a 190 gramos
weight_>205_g,teniendo un peso mayor a 205 gramos
